State 0:
  pred_1(chair_0, chair_0)  [conf=1.000]
  pred_5(person_0, shorts)  [conf=1.000]
  pred_6(person_0, shorts)  [conf=1.000]
  pred_7(person_0, shorts)  [conf=1.000]
  pred_0(basketball hoop, basketball hoop)  [conf=1.000]
  pred_1(basketball hoop, basketball hoop)  [conf=1.000]
  pred_4(basketball hoop, basketball hoop)  [conf=1.000]
  pred_5(basketball hoop, basketball hoop)  [conf=1.000]
  pred_6(basketball hoop, basketball hoop)  [conf=1.000]
  pred_7(basketball hoop, basketball hoop)  [conf=1.000]
  pred_0(person_0, person_0)  [conf=1.000]
  pred_1(person_0, person_0)  [conf=1.000]
  pred_4(person_0, person_0)  [conf=1.000]
  pred_5(person_0, person_0)  [conf=1.000]
  pred_7(person_0, person_0)  [conf=1.000]
  pred_0(person_0, basketball hoop)  [conf=1.000]
  pred_1(person_0, basketball hoop)  [conf=1.000]
  pred_4(person_0, basketball hoop)  [conf=1.000]
  pred_5(person_0, basketball hoop)  [conf=1.000]
  pred_6(person_0, basketball hoop)  [conf=1.000]
  pred_7(person_0, basketball hoop)  [conf=1.000]
  pred_0(tennis racket, tennis racket)  [conf=1.000]
  pred_4(tennis racket, tennis racket)  [conf=1.000]
  pred_5(tennis racket, tennis racket)  [conf=1.000]
  pred_6(tennis racket, tennis racket)  [conf=1.000]
  pred_7(tennis racket, tennis racket)  [conf=1.000]

State 6:
  pred_1(person_1, person_1)  [conf=1.000]
  pred_2(person_1, person_1)  [conf=1.000]
  pred_3(person_1, person_1)  [conf=1.000]
  pred_6(person_1, person_1)  [conf=1.000]
  pred_1(person_2, person_1)  [conf=1.000]
  pred_2(person_2, person_1)  [conf=1.000]
  pred_3(person_2, person_1)  [conf=1.000]
  pred_6(person_2, person_1)  [conf=1.000]
  pred_1(person_0, person_0)  [conf=1.000]
  pred_2(person_0, person_0)  [conf=1.000]
  pred_3(person_0, person_0)  [conf=1.000]
  pred_6(person_0, person_0)  [conf=1.000]
  pred_0(pad_6, train)  [conf=1.000]
  pred_1(pad_6, train)  [conf=1.000]
  pred_5(pad_6, train)  [conf=1.000]
  pred_7(pad_6, train)  [conf=1.000]
  pred_1(person_3, person_1)  [conf=1.000]
  pred_2(person_3, person_1)  [conf=1.000]
  pred_3(person_3, person_1)  [conf=1.000]
  pred_6(person_3, person_1)  [conf=1.000]
  pred_1(person_3, pad_6)  [conf=1.000]
  pred_2(person_3, pad_6)  [conf=1.000]
  pred_3(person_3, pad_6)  [conf=1.000]
  pred_1(person_4, person_4)  [conf=1.000]
  pred_2(person_4, person_4)  [conf=1.000]
  pred_3(person_4, person_4)  [conf=1.000]
  pred_6(person_4, person_4)  [conf=1.000]
  pred_0(train, train)  [conf=1.000]
  pred_1(train, train)  [conf=1.000]
  pred_4(train, train)  [conf=1.000]
  pred_5(train, train)  [conf=1.000]
  pred_7(train, train)  [conf=1.000]
  pred_0(train, person_4)  [conf=1.000]
  pred_4(train, person_4)  [conf=1.000]
  pred_5(train, person_4)  [conf=1.000]
  pred_7(train, person_4)  [conf=1.000]
  pred_1(person_2, person_2)  [conf=1.000]
  pred_2(person_2, person_2)  [conf=1.000]
  pred_3(person_2, person_2)  [conf=1.000]
  pred_6(person_2, person_2)  [conf=1.000]

State 7:
  pred_1(banner, banner)  [conf=1.000]
  pred_2(banner, banner)  [conf=1.000]
  pred_3(banner, banner)  [conf=1.000]
  pred_6(banner, banner)  [conf=1.000]
  pred_1(tennis_racket, banner)  [conf=1.000]
  pred_2(tennis_racket, banner)  [conf=1.000]
  pred_3(tennis_racket, banner)  [conf=1.000]
  pred_6(tennis_racket, banner)  [conf=1.000]
  pred_1(person, person)  [conf=1.000]
  pred_2(person, person)  [conf=1.000]
  pred_3(person, person)  [conf=1.000]
  pred_1(pad_6, court)  [conf=1.000]
  pred_2(pad_6, court)  [conf=1.000]
  pred_3(pad_6, court)  [conf=1.000]
  pred_6(pad_6, court)  [conf=1.000]
  pred_1(tennis_ball, banner)  [conf=1.000]
  pred_2(tennis_ball, banner)  [conf=1.000]
  pred_3(tennis_ball, banner)  [conf=1.000]
  pred_6(tennis_ball, banner)  [conf=1.000]
  pred_1(pad_5, pad_6)  [conf=1.000]
  pred_2(pad_5, pad_6)  [conf=1.000]
  pred_3(pad_5, pad_6)  [conf=1.000]
  pred_6(pad_5, pad_6)  [conf=1.000]
  pred_1(pad_5, pad_5)  [conf=1.000]
  pred_2(pad_5, pad_5)  [conf=1.000]
  pred_3(pad_5, pad_5)  [conf=1.000]
  pred_6(pad_5, pad_5)  [conf=1.000]
  pred_1(court, court)  [conf=1.000]
  pred_2(court, court)  [conf=1.000]
  pred_3(court, court)  [conf=1.000]
  pred_6(court, court)  [conf=1.000]
  pred_1(court, pad_5)  [conf=1.000]
  pred_2(court, pad_5)  [conf=1.000]
  pred_3(court, pad_5)  [conf=1.000]
  pred_6(court, pad_5)  [conf=1.000]
  pred_1(tennis_racket, tennis_racket)  [conf=1.000]
  pred_2(tennis_racket, tennis_racket)  [conf=1.000]
  pred_3(tennis_racket, tennis_racket)  [conf=1.000]

State 8:
  pred_0(person_2, person_2)  [conf=1.000]
  pred_4(person_2, person_2)  [conf=1.000]
  pred_6(person_2, person_2)  [conf=1.000]
  pred_7(person_2, person_2)  [conf=1.000]
  pred_0(chair, person_2)  [conf=1.000]
  pred_4(chair, person_2)  [conf=1.000]
  pred_5(chair, person_2)  [conf=1.000]
  pred_6(chair, person_2)  [conf=1.000]
  pred_7(chair, person_2)  [conf=1.000]
  pred_0(person_1, person_1)  [conf=1.000]
  pred_7(person_1, person_1)  [conf=1.000]
  pred_0(chair, person_2)  [conf=1.000]
  pred_4(chair, person_2)  [conf=1.000]
  pred_5(chair, person_2)  [conf=1.000]
  pred_6(chair, person_2)  [conf=1.000]
  pred_7(chair, person_2)  [conf=1.000]
  pred_0(tennis_racket, person_2)  [conf=1.000]
  pred_4(tennis_racket, person_2)  [conf=1.000]
  pred_5(tennis_racket, person_2)  [conf=1.000]
  pred_6(tennis_racket, person_2)  [conf=1.000]
  pred_7(tennis_racket, person_2)  [conf=1.000]
  pred_0(person_0, tennis_ball)  [conf=1.000]
  pred_4(person_0, tennis_ball)  [conf=1.000]
  pred_5(person_0, tennis_ball)  [conf=1.000]
  pred_7(person_0, tennis_ball)  [conf=1.000]
  pred_0(text, text)  [conf=1.000]
  pred_4(text, text)  [conf=1.000]
  pred_7(text, text)  [conf=1.000]
  pred_0(person_0, person_0)  [conf=1.000]
  pred_1(person_0, person_0)  [conf=1.000]
  pred_4(person_0, person_0)  [conf=1.000]
  pred_5(person_0, person_0)  [conf=1.000]
  pred_7(person_0, person_0)  [conf=1.000]
  pred_0(person_1, text)  [conf=1.000]
  pred_4(person_1, text)  [conf=1.000]
  pred_7(person_1, text)  [conf=1.000]
  pred_0(chair, chair)  [conf=1.000]
  pred_1(chair, chair)  [conf=1.000]
  pred_4(chair, chair)  [conf=1.000]
  pred_5(chair, chair)  [conf=1.000]
  pred_6(chair, chair)  [conf=1.000]
  pred_7(chair, chair)  [conf=1.000]

State 9:
  pred_1(table, table)  [conf=1.000]
  pred_2(table, table)  [conf=1.000]
  pred_3(table, table)  [conf=1.000]
  pred_6(table, table)  [conf=1.000]
  pred_1(cake, table)  [conf=1.000]
  pred_2(cake, table)  [conf=1.000]
  pred_3(cake, table)  [conf=1.000]
  pred_6(cake, table)  [conf=1.000]
  pred_1(person_1, person_1)  [conf=1.000]
  pred_2(person_1, person_1)  [conf=1.000]
  pred_3(person_1, person_1)  [conf=1.000]
  pred_5(flower_1, person_0)  [conf=1.000]
  pred_6(flower_1, person_0)  [conf=1.000]
  pred_7(flower_1, person_0)  [conf=1.000]
  pred_1(napkin, table)  [conf=1.000]
  pred_2(napkin, table)  [conf=1.000]
  pred_3(napkin, table)  [conf=1.000]
  pred_6(napkin, table)  [conf=1.000]
  pred_1(flower_0, flower_1)  [conf=1.000]
  pred_2(flower_0, flower_1)  [conf=1.000]
  pred_3(flower_0, flower_1)  [conf=1.000]
  pred_6(flower_0, flower_1)  [conf=1.000]
  pred_1(flower_0, flower_0)  [conf=1.000]
  pred_2(flower_0, flower_0)  [conf=1.000]
  pred_3(flower_0, flower_0)  [conf=1.000]
  pred_6(flower_0, flower_0)  [conf=1.000]
  pred_0(person_0, person_0)  [conf=1.000]
  pred_4(person_0, person_0)  [conf=1.000]
  pred_5(person_0, person_0)  [conf=1.000]
  pred_6(person_0, person_0)  [conf=1.000]
  pred_7(person_0, person_0)  [conf=1.000]
  pred_0(person_0, flower_0)  [conf=1.000]
  pred_3(person_0, flower_0)  [conf=1.000]
  pred_4(person_0, flower_0)  [conf=1.000]
  pred_5(person_0, flower_0)  [conf=1.000]
  pred_6(person_0, flower_0)  [conf=1.000]
  pred_7(person_0, flower_0)  [conf=1.000]
  pred_1(cake, cake)  [conf=1.000]
  pred_2(cake, cake)  [conf=1.000]
  pred_3(cake, cake)  [conf=1.000]
  pred_6(cake, cake)  [conf=1.000]

State 10:
  pred_0(person_2, person_2)  [conf=1.000]
  pred_4(person_2, person_2)  [conf=1.000]
  pred_5(person_2, person_2)  [conf=1.000]
  pred_7(person_2, person_2)  [conf=1.000]
  pred_0(person_3, person_2)  [conf=1.000]
  pred_4(person_3, person_2)  [conf=1.000]
  pred_5(person_3, person_2)  [conf=1.000]
  pred_7(person_3, person_2)  [conf=1.000]
  pred_1(person_1, person_1)  [conf=1.000]
  pred_2(person_1, person_1)  [conf=1.000]
  pred_3(person_1, person_1)  [conf=1.000]
  pred_6(person_1, person_1)  [conf=1.000]
  pred_0(person_3, person_1)  [conf=1.000]
  pred_3(person_3, person_1)  [conf=1.000]
  pred_4(person_3, person_1)  [conf=1.000]
  pred_5(person_3, person_1)  [conf=1.000]
  pred_7(person_3, person_1)  [conf=1.000]
  pred_0(person_4, person_2)  [conf=1.000]
  pred_4(person_4, person_2)  [conf=1.000]
  pred_5(person_4, person_2)  [conf=1.000]
  pred_7(person_4, person_2)  [conf=1.000]
  pred_1(person_0, person_6)  [conf=1.000]
  pred_2(person_0, person_6)  [conf=1.000]
  pred_3(person_0, person_6)  [conf=1.000]
  pred_6(person_0, person_6)  [conf=1.000]
  pred_1(person_5, person_5)  [conf=1.000]
  pred_2(person_5, person_5)  [conf=1.000]
  pred_3(person_5, person_5)  [conf=1.000]
  pred_6(person_5, person_5)  [conf=1.000]
  pred_1(person_1, person_0)  [conf=1.000]
  pred_2(person_1, person_0)  [conf=1.000]
  pred_3(person_1, person_0)  [conf=1.000]
  pred_6(person_1, person_0)  [conf=1.000]
  pred_1(person_0, person_5)  [conf=1.000]
  pred_2(person_0, person_5)  [conf=1.000]
  pred_3(person_0, person_5)  [conf=1.000]
  pred_6(person_0, person_5)  [conf=1.000]
  pred_0(person_3, person_3)  [conf=1.000]
  pred_4(person_3, person_3)  [conf=1.000]
  pred_5(person_3, person_3)  [conf=1.000]
  pred_7(person_3, person_3)  [conf=1.000]

State 11:
  pred_1(pad_2, pad_2)  [conf=1.000]
  pred_2(pad_2, pad_2)  [conf=1.000]
  pred_3(pad_2, pad_2)  [conf=1.000]
  pred_6(pad_2, pad_2)  [conf=1.000]
  pred_1(pad_3, pad_2)  [conf=1.000]
  pred_2(pad_3, pad_2)  [conf=1.000]
  pred_3(pad_3, pad_2)  [conf=1.000]
  pred_6(pad_3, pad_2)  [conf=1.000]
  pred_1(pad_1, pad_1)  [conf=1.000]
  pred_2(pad_1, pad_1)  [conf=1.000]
  pred_3(pad_1, pad_1)  [conf=1.000]
  pred_6(pad_1, pad_1)  [conf=1.000]
  pred_1(pad_6, car)  [conf=1.000]
  pred_2(pad_6, car)  [conf=1.000]
  pred_3(pad_6, car)  [conf=1.000]
  pred_6(pad_6, car)  [conf=1.000]
  pred_1(pad_4, pad_2)  [conf=1.000]
  pred_2(pad_4, pad_2)  [conf=1.000]
  pred_3(pad_4, pad_2)  [conf=1.000]
  pred_6(pad_4, pad_2)  [conf=1.000]
  pred_1(pad_5, pad_6)  [conf=1.000]
  pred_2(pad_5, pad_6)  [conf=1.000]
  pred_3(pad_5, pad_6)  [conf=1.000]
  pred_6(pad_5, pad_6)  [conf=1.000]
  pred_1(pad_5, pad_5)  [conf=1.000]
  pred_2(pad_5, pad_5)  [conf=1.000]
  pred_3(pad_5, pad_5)  [conf=1.000]
  pred_6(pad_5, pad_5)  [conf=1.000]
  pred_1(car, car)  [conf=1.000]
  pred_2(car, car)  [conf=1.000]
  pred_3(car, car)  [conf=1.000]
  pred_6(car, car)  [conf=1.000]
  pred_1(car, pad_5)  [conf=1.000]
  pred_2(car, pad_5)  [conf=1.000]
  pred_3(car, pad_5)  [conf=1.000]
  pred_1(pad_3, pad_3)  [conf=1.000]
  pred_2(pad_3, pad_3)  [conf=1.000]
  pred_3(pad_3, pad_3)  [conf=1.000]
  pred_6(pad_3, pad_3)  [conf=1.000]

State 12:
  pred_0(person_2, person_2)  [conf=1.000]
  pred_4(person_2, person_2)  [conf=1.000]
  pred_5(person_2, person_2)  [conf=1.000]
  pred_6(person_2, person_2)  [conf=1.000]
  pred_7(person_2, person_2)  [conf=1.000]
  pred_0(person_3, person_2)  [conf=1.000]
  pred_4(person_3, person_2)  [conf=1.000]
  pred_5(person_3, person_2)  [conf=1.000]
  pred_6(person_3, person_2)  [conf=1.000]
  pred_7(person_3, person_2)  [conf=1.000]
  pred_1(person_1, person_1)  [conf=1.000]
  pred_2(person_1, person_1)  [conf=1.000]
  pred_3(person_1, person_1)  [conf=1.000]
  pred_1(knife, knife)  [conf=1.000]
  pred_2(knife, knife)  [conf=1.000]
  pred_3(knife, knife)  [conf=1.000]
  pred_6(knife, knife)  [conf=1.000]
  pred_0(person_4, person_2)  [conf=1.000]
  pred_4(person_4, person_2)  [conf=1.000]
  pred_5(person_4, person_2)  [conf=1.000]
  pred_6(person_4, person_2)  [conf=1.000]
  pred_7(person_4, person_2)  [conf=1.000]
  pred_0(person_0, knife)  [conf=1.000]
  pred_1(person_0, knife)  [conf=1.000]
  pred_4(person_0, knife)  [conf=1.000]
  pred_5(person_0, knife)  [conf=1.000]
  pred_6(person_0, knife)  [conf=1.000]
  pred_7(person_0, knife)  [conf=1.000]
  pred_1(cake, cake)  [conf=1.000]
  pred_2(cake, cake)  [conf=1.000]
  pred_3(cake, cake)  [conf=1.000]
  pred_6(cake, cake)  [conf=1.000]
  pred_1(person_1, person_0)  [conf=1.000]
  pred_4(person_1, person_0)  [conf=1.000]
  pred_5(person_1, person_0)  [conf=1.000]
  pred_7(person_1, person_0)  [conf=1.000]
  pred_0(person_0, cake)  [conf=1.000]
  pred_1(person_0, cake)  [conf=1.000]
  pred_4(person_0, cake)  [conf=1.000]
  pred_5(person_0, cake)  [conf=1.000]
  pred_6(person_0, cake)  [conf=1.000]
  pred_7(person_0, cake)  [conf=1.000]
  pred_0(person_3, person_3)  [conf=1.000]
  pred_4(person_3, person_3)  [conf=1.000]
  pred_5(person_3, person_3)  [conf=1.000]
  pred_7(person_3, person_3)  [conf=1.000]

State 13:
  pred_0(crosswalk, crosswalk)  [conf=1.000]
  pred_4(crosswalk, crosswalk)  [conf=1.000]
  pred_7(crosswalk, crosswalk)  [conf=1.000]
  pred_0(crosswalk, person_1)  [conf=1.000]
  pred_4(crosswalk, person_1)  [conf=1.000]
  pred_5(crosswalk, person_1)  [conf=1.000]
  pred_7(crosswalk, person_1)  [conf=1.000]
  pred_0(person_1, person_1)  [conf=1.000]
  pred_1(person_1, person_1)  [conf=1.000]
  pred_4(person_1, person_1)  [conf=1.000]
  pred_5(person_1, person_1)  [conf=1.000]
  pred_7(person_1, person_1)  [conf=1.000]
  pred_0(earphone, person_0)  [conf=1.000]
  pred_1(earphone, person_0)  [conf=1.000]
  pred_4(earphone, person_0)  [conf=1.000]
  pred_5(earphone, person_0)  [conf=1.000]
  pred_7(earphone, person_0)  [conf=1.000]
  pred_0(handbag, crosswalk)  [conf=1.000]
  pred_0(person_0, earphone)  [conf=1.000]
  pred_1(person_0, earphone)  [conf=1.000]
  pred_4(person_0, earphone)  [conf=1.000]
  pred_5(person_0, earphone)  [conf=1.000]
  pred_7(person_0, earphone)  [conf=1.000]
  pred_1(manhole, manhole)  [conf=1.000]
  pred_2(manhole, manhole)  [conf=1.000]
  pred_3(manhole, manhole)  [conf=1.000]
  pred_6(manhole, manhole)  [conf=1.000]
  pred_0(person_0, person_0)  [conf=1.000]
  pred_1(person_0, person_0)  [conf=1.000]
